,id,x,y,osmid,geometry,highway
2322,2322,-73.997007,40.742228,42427374,POINT (-73.997007 40.742228),residential
2323,2323,-73.9998517,40.7434266,42427381,POINT (-73.99985169999999 40.7434266),residential
2324,2324,-74.0073842,40.7105761,1538237434,POINT (-74.0073842 40.7105761),residential
2325,2325,-74.0027323,40.7446399,42427386,POINT (-74.00273230000001 40.7446399),residential
2326,2326,-74.005535,40.745816,42427390,POINT (-74.00553499999999 40.745816),unclassified
2327,2327,-74.0078599,40.746795,42427393,POINT (-74.0078599 40.746795),trunk
2328,2328,-73.9583831,40.7590213,371188750,POINT (-73.95838310000001 40.7590213),motorway_link
2329,2329,-74.016626,40.708134,42427411,POINT (-74.016626 40.708134),residential
2330,2330,-73.9558377,40.761183,371188756,POINT (-73.9558377 40.761183),motorway
2331,2331,-74.017398,40.708457,42427412,POINT (-74.017398 40.708457),residential
2332,2332,-73.9902269,40.7281239,42443799,POINT (-73.9902269 40.7281239),residential
2333,2333,-73.9783547,40.7524129,42443804,POINT (-73.9783547 40.7524129),primary
2334,2334,-73.977432,40.753717,42443807,POINT (-73.97743199999999 40.753717),residential
2335,2335,-73.9923179,40.7435682,42427423,POINT (-73.9923179 40.7435682),secondary
2336,2336,-73.976974,40.754349,42443810,POINT (-73.976974 40.754349),residential
2337,2337,-73.9760595,40.7555998,42443811,POINT (-73.97605950000001 40.7555998),residential
2338,2338,-73.9951595,40.744765,42427426,POINT (-73.9951595 40.744765),residential
2339,2339,-73.998,40.7459612,42427427,POINT (-73.998 40.7459612),residential
2340,2340,-73.9429967,40.8025573,42443817,POINT (-73.94299669999999 40.8025573),residential
2341,2341,-73.9412295,40.8018166,42443818,POINT (-73.94122950000001 40.8018166),residential
2342,2342,-73.9397405,40.8011925,42443819,POINT (-73.9397405 40.8011925),secondary
2343,2343,-73.9381365,40.8005203,42443821,POINT (-73.9381365 40.8005203),primary
2344,2344,-73.9335218,40.7985861,42443824,POINT (-73.93352179999999 40.7985861),residential
2345,2345,-73.931267,40.797641,42443826,POINT (-73.93126700000001 40.797641),residential
2346,2346,-74.0008576,40.7130089,42443832,POINT (-74.0008576 40.7130089),unclassified
2347,2347,-73.9771768,40.7150516,486876216,POINT (-73.9771768 40.7150516),motorway
2348,2348,-74.0069661,40.7117008,42443844,POINT (-74.0069661 40.7117008),secondary
2349,2349,-74.0008813,40.7471747,42427477,POINT (-74.0008813 40.7471747),primary
2350,2350,-74.003684,40.748355,42427483,POINT (-74.00368400000001 40.748355),residential
2351,2351,-74.0082754,40.7502561,42427494,POINT (-74.0082754 40.7502561),secondary
2352,2352,-73.9112343,40.8716544,42427504,POINT (-73.9112343 40.8716544),tertiary
2353,2353,-73.9126036,40.8722414,42427507,POINT (-73.9126036 40.8722414),residential
2354,2354,-73.952228,40.812316,42427519,POINT (-73.95222800000001 40.812316),residential
2355,2355,-73.95177,40.81294,42427523,POINT (-73.95177 40.81294),residential
2356,2356,-73.951322,40.813567,42427531,POINT (-73.951322 40.813567),residential
2357,2357,-73.95086,40.814187,42427538,POINT (-73.95086000000001 40.814187),residential
2358,2358,-73.9897846,40.7101314,42443928,POINT (-73.98978459999999 40.7101314),primary
2359,2359,-73.9307212,40.8452321,60925101,POINT (-73.93072119999999 40.8452321),motorway_link
2360,2360,-73.9831797,40.7503411,42443950,POINT (-73.98317969999999 40.7503411),secondary
2361,2361,-73.997767,40.7564802,42443975,POINT (-73.997767 40.7564802),secondary
2362,2362,-74.0066591,40.7313315,4207862995,POINT (-74.00665909999999 40.7313315),secondary
